"","geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"7324","FBgn0036381",656.771776943489,-4.18396545619579,0.192721167525639,-21.7099424516467,1.6526446171746e-104,2.00118736693672e-100,"CG8745"
"1762","FBgn0016076",3736.1767650145,-1.20674402122233,0.09842480570675,-12.2605679793542,1.47462648154329e-34,8.92812603250387e-31,"vri"
"14311","FBgn0263390",127.130546111572,-3.42121139244285,0.308441137340626,-11.0919426051287,1.37273870300567e-28,5.54083098489854e-25,"Nha2"
"3979","FBgn0031109",25730.0577720569,0.877702784093073,0.0839464420287377,10.4555090469779,1.38254349072992e-25,4.18530478231216e-22,"Obp19a"
"17247","FBgn0270925",83.6286390271867,-4.72033360685349,0.463252999239083,-10.1895370663695,2.20813176560027e-24,5.34765350993073e-21,"CG4836"
"8347","FBgn0037873",1673.13048785896,1.07222231599968,0.106292439749193,10.0874748809011,6.27632595830127e-24,1.26666718381784e-20,"SdhC"
"1766","FBgn0016120",2310.44699329451,0.96395539183077,0.0965375337845099,9.98529125451352,1.76781142998642e-23,3.05806122938651e-20,"ATPsynD"
"6466","FBgn0035032",2356.05327484279,0.990929399798946,0.0994776443255399,9.96132755773887,2.25037393979959e-23,3.40622225462915e-20,"ATPsynF"
"7959","FBgn0037298",2554.69140387959,0.921646350848191,0.0935653477063606,9.85029579263282,6.83425446982273e-23,9.1951097083426e-20,"Sccpdh1"
"299","FBgn0001258",347.585519828142,-1.44389104029725,0.156133204429125,-9.24781532267014,2.29127800247651e-20,2.77450853319881e-17,"Ldh"
"16031","FBgn0266582",1485.84785728035,1.02730506873194,0.112384331126252,9.14099909157145,6.18779886448997e-20,6.81164149546445e-17,"ND-30"
"1983","FBgn0021967",1002.35823704365,1.15653475009688,0.127975094269518,9.03718615484032,1.60756469085199e-19,1.62216673679389e-16,"ND-PDSW"
"2259","FBgn0025583",228.154205666017,-1.70815902556954,0.189628358438985,-9.00793024646236,2.09981851266988e-19,1.95590018230151e-16,"BomS2"
"9988","FBgn0040736",420.43985479151,-1.71328878210407,0.190781636671658,-8.98036525943376,2.6986935440544e-19,2.33417715178248e-16,"BomS3"
"2667","FBgn0027785",765.225479957579,1.08779077223106,0.122090153862941,8.90973381401601,5.11552323724084e-19,4.12959139198329e-16,"NP15.6"
"12553","FBgn0085237",94.6498589826515,-3.83541033638883,0.431879989971767,-8.88073174364841,6.6421959554094e-19,5.02689692650327e-16,"CG34208"
"6294","FBgn0034766",9136.27663800162,0.76938713419939,0.0878625866466472,8.75670935222517,2.01033160606668e-18,1.43194737752126e-15,"Obp59a"
"288","FBgn0001233",6266.3943785007,0.906452859266659,0.103884495599583,8.72558367863217,2.64811205167072e-18,1.78144382409338e-15,"Hsp83"
"10330","FBgn0046294",59.706405352447,-5.7381093071154,0.676099236917242,-8.48708147235755,2.11891220588757e-17,1.35041620532066e-14,"CG12699"
"5400","FBgn0033395",173.423212864103,-3.16223676536174,0.373616453348405,-8.46385842224377,2.58673814847228e-17,1.56614061199254e-14,"Cyp4p2"
"1565","FBgn0014391",1087.77059983435,1.22434579730052,0.145174592977787,8.43360929889339,3.35164361585077e-17,1.93262154973033e-14,"sun"
"1525","FBgn0014000",2055.85769410098,0.920630883392762,0.109642601686343,8.39665302750142,4.59384928037103e-17,2.5284964061824e-14,"Hf"
"6003","FBgn0034329",346.150977676242,-1.90172770814817,0.227775031213818,-8.34914914955264,6.87564679316323e-17,3.61987856601798e-14,"BomS1"
"8327","FBgn0037836",4454.35504135637,-0.80893594760467,0.0978515008064109,-8.26697537531965,1.37400327974789e-16,6.93241904769464e-14,"CG14692"
"10243","FBgn0043791",51.249297959409,-4.23941677733584,0.52441008896985,-8.08416326555376,6.25924349190482e-16,3.03172717773902e-13,"phu"
"7021","FBgn0035915",108.700193282282,-2.35917062992032,0.293726609571474,-8.0318587184259,9.60068923957958e-16,4.47133638469496e-13,"S-Lap1"
"5729","FBgn0033912",3492.33847895026,0.852642078536032,0.106395234404127,8.01391230830316,1.11115948055037e-15,4.98334449999422e-13,"RpS23"
"10084","FBgn0041180",2848.40617306806,-0.951044412698325,0.118819416529131,-8.00411616619203,1.2032775973366e-15,5.20374586648173e-13,"Tep4"
"4896","FBgn0032518",3825.50259404787,0.958733130835588,0.120063362069122,7.98522641972685,1.40264611525654e-15,5.85677303780739e-13,"RpL24"
