"","geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"47","FBgn0000120",5579.68825346682,-3.3683574315984,0.068594666921915,-49.1052378085425,0,0,"Arr1"
"48","FBgn0000121",7106.13212265746,-3.23155937088221,0.0647170891685653,-49.9336328688259,0,0,"Arr2"
"460","FBgn0002938",6282.68242662197,-3.94969074068623,0.0754081267489703,-52.3775209777395,0,0,"ninaC"
"462","FBgn0002940",25137.7420365024,-4.61129977282818,0.0597583489586394,-77.1657827430908,0,0,"ninaE"
"534","FBgn0003249",1254.3310763115,-4.08632348759681,0.106855832980575,-38.241463976418,0,0,"Rh3"
"660","FBgn0003861",3639.02588067792,-3.19074110040519,0.0744097689009811,-42.8806747760658,0,0,"trp"
"707","FBgn0003996",4918.7790483987,5.84738268011303,0.0807879778241489,72.3793668018406,0,0,"w"
"711","FBgn0004045",1505.04851547969,-3.49132508064583,0.0895076518058186,-39.0058839686695,0,0,"Yp1"
"712","FBgn0004047",3686.14916517456,-3.79363291391699,0.0747881076769602,-50.7250822591101,0,0,"Yp3"
"816","FBgn0004516",1713.72582837377,-4.86794082774432,0.110505532213583,-44.0515576933801,0,0,"Gad1"
"848","FBgn0004623",2375.39286854831,-3.45015093920992,0.0783915982698768,-44.0117438010662,0,0,"Gbeta76C"
"875","FBgn0004784",1597.22201239718,-3.72291243619888,0.0967446089232571,-38.4818593783565,0,0,"inaC"
"938","FBgn0005391",4648.43891924813,-3.43556956151359,0.0761750440419187,-45.1009855619252,0,0,"Yp2"
"1508","FBgn0013772",10163.1455052686,2.6916627351778,0.0650216872588936,41.3963840166212,0,0,"Cyp6a8"
"2429","FBgn0026385",4844.33697538114,4.6850605728572,0.0743150576765405,63.0432205711139,0,0,"Or47b"
"2661","FBgn0027657",2019.72601511037,-3.30961337061735,0.0803451789442342,-41.1924326276561,0,0,"glob1"
"3617","FBgn0030593",1556.71200263797,-3.44639593747911,0.0882611679894226,-39.0477037182664,0,0,"CG9512"
"3784","FBgn0030830",1260.54239658827,4.21776177102706,0.0972089339891002,43.3886228142363,0,0,"CG5172"
"5319","FBgn0033268",2812.9367421252,-4.21026445254041,0.084869943420428,-49.6084277054792,0,0,"Obp44a"
"7875","FBgn0037166",2175.69087805581,-3.50412691813903,0.0851592743991039,-41.1479189185753,0,0,"CG11426"
"9780","FBgn0040074",4807.62747872312,-5.01628715163128,0.0832477839782988,-60.2573055030383,0,0,"retinin"
"10133","FBgn0041625",10593.5266938961,7.53996259008567,0.0899257709806863,83.8465159415209,0,0,"Or65a"
"16746","FBgn0267435",3170.43056725632,-3.17980302032408,0.0816405307541212,-38.9488283693399,0,0,"chp"
"6751","FBgn0035495",1317.89949246801,-4.85600121136394,0.129813914642553,-37.4074013924864,2.9618844001014e-306,1.6005282827048e-303,"CG14989"
"5051","FBgn0032797",1343.46408055735,-5.45082976990775,0.146919679563608,-37.100746381276,2.73264046074379e-301,1.41758456541545e-298,"Hasp"
"13686","FBgn0261714",1652.34696424794,-3.39282293656514,0.0918208908517223,-36.9504467348729,7.16412317196674e-299,3.57351974681679e-296,"Cpn"
"9954","FBgn0040637",821.079384842891,3.64615013529757,0.104757009015405,34.805786930795,1.98823821065306e-265,9.55017087183687e-263,"CG11458"
"1704","FBgn0015714",679.000920242487,3.93944019120533,0.113197851902489,34.8013687980478,2.31901491163975e-265,1.07411801389486e-262,"Cyp6a17"
"14507","FBgn0263830",4296.51326846729,-2.71285713066691,0.0788661893407251,-34.3982275972099,2.68013835489683e-259,1.19857635602265e-256,"CG40486"
"535","FBgn0003250",1214.39329816252,-3.1024345451895,0.0926163007429979,-33.4977160640273,5.20325452384187e-246,2.24936693065684e-243,"Rh4"
"4513","FBgn0031942",8868.19123867983,-1.97593956330759,0.0590707534538919,-33.4503869981941,2.54061502176989e-245,1.06287858765593e-242,"CG7203"
"4529","FBgn0031971",2143.40284431132,-2.49458321588851,0.0751626660353645,-33.1891262972869,1.54501834247211e-241,6.26166965110024e-239,"Sirup"
"1426","FBgn0013278",633.156385618512,6.03290761116867,0.181824790545741,33.1797858425196,2.10702005956246e-241,8.28058883408046e-239,"Hsp70Bb"
"8449","FBgn0038017",786.042255790919,-4.21487594013279,0.128666412394092,-32.7581678987291,2.32295807814508e-235,8.86071862219516e-233,"CG4115"
"12971","FBgn0087005",1055.94825843308,-3.22842299881497,0.0995161234153806,-32.441205384775,7.20722792362969e-231,2.67058682690153e-228,"rtp"
"301","FBgn0001263",1041.77627975215,-3.19551178792471,0.099809336910547,-32.0161608807065,6.49713811324676e-225,2.34059400529715e-222,"inaD"
"1242","FBgn0011693",989.225872651126,-2.91801290562942,0.094758581154091,-30.7941810661382,3.13533712456098e-208,1.09897803157922e-205,"Pdh"
"6006","FBgn0034335",734.336326266478,2.82288604689014,0.0955362748681751,29.5477927183708,7.01021291955205e-192,2.39251187772817e-189,"GstE1"
"6182","FBgn0034588",987.15764533867,-2.74053083331288,0.0928426933631221,-29.518002268571,1.69145262730713e-191,5.62473054449902e-189,"CG9394"
"16632","FBgn0267252",7153.02449778724,-2.20450437913115,0.0747615769541769,-29.4871305414323,4.20984950501048e-191,1.36493845576202e-188,"Ggamma30A"
