"","geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"6134","FBgn0034515",7865.94431235266,4.8217222253584,0.109707051138065,43.9508871612118,0,0,"CG13428"
"10407","FBgn0050052",2316.7344563245,5.22348881106622,0.143087239009508,36.5056230536332,9.0302789054301e-292,4.84700220248961e-288,"Obp49a"
"5995","FBgn0034321",657.958711001905,6.88839160304042,0.297707224231947,23.1381405701918,1.91388177576569e-118,6.84850695428156e-115,"CG14502"
"5519","FBgn0033593",822.381486177111,7.49303059466139,0.345987959124946,21.6569114532551,5.23154153022597e-104,1.40401495817439e-100,"Listericin"
"4566","FBgn0032021",2173.55906478643,-1.50665654150527,0.0707349813478056,-21.3000203406714,1.13471842241573e-100,2.43624045292658e-97,"CG7781"
"5077","FBgn0032835",3385.19809941777,-1.6279839602805,0.0784755620811625,-20.7451073570748,1.35721137056146e-95,2.42827734382954e-92,"CG16772"
"14666","FBgn0264382",422.219480743268,-3.88952255772911,0.190033459878472,-20.4675669233013,4.19024783406474e-93,6.426044356955e-90,"lncRNA:CR43834"
"3109","FBgn0029766",1549.57157207084,1.82875841725391,0.0894659665044399,20.4408278220875,7.24990109291714e-93,9.72846102905819e-90,"CG15784"
"5036","FBgn0032774",3119.88431681,2.06567983264708,0.104914122525916,19.6892447166664,2.66635466272521e-86,3.18036858937279e-83,"CG17549"
"1889","FBgn0020372",1087.77635287344,-1.98534805111498,0.102793851509814,-19.3138793999312,4.10545101078552e-83,4.40720166007826e-80,"TM4SF"
"3980","FBgn0031110",2439.89531755455,4.97509271496268,0.25815741504749,19.2715468352806,9.31110917579674e-83,9.08679609110709e-80,"Obp19b"
"12236","FBgn0063496",9201.7318940261,-3.36511429735119,0.176286667622609,-19.0888757654388,3.1242075618835e-81,2.79486401473494e-78,"GstE4"
"4979","FBgn0032684",4096.72280428232,-1.51056792885201,0.0801349729831701,-18.8502956027608,2.92205026864393e-79,2.41293920260712e-76,"Ugt301D1"
"1762","FBgn0016076",2820.57567487124,1.9581008285234,0.104517584959098,18.7346543578258,2.58313782714467e-78,1.98071318388558e-75,"vri"
"8699","FBgn0038398",2532.80314522882,1.55294029185106,0.0832628900133857,18.6510496044685,1.23822434907194e-77,8.8615589248582e-75,"sxe2"
"14507","FBgn0263830",1243.71534138931,-2.16077926786986,0.116994578789514,-18.4690546367737,3.66445294428622e-76,2.45861889730704e-73,"CG40486"
"2614","FBgn0027562",4738.89566550584,1.58950800454764,0.0893671811029912,17.786260962129,9.03086355608213e-71,5.70272472203186e-68,"CG10345"
"1244","FBgn0011695",37217.7442699568,1.16872277902521,0.0659715518270622,17.7155568825924,3.18064121866732e-70,1.8968990823552e-67,"EbpIII"
"2631","FBgn0027584",3275.54171070243,3.92442692586606,0.223417774769236,17.5654194475777,4.53331080739603e-69,2.50149466903553e-66,"CG4757"
"9915","FBgn0040502",285.269152219956,6.44924035078949,0.367188311041609,17.563849819987,4.66044651892972e-69,2.50149466903553e-66,"CG8343"
"5145","FBgn0032946",12940.7232888935,-1.43095843984261,0.0869435052512606,-16.4584857225073,7.29014769461683e-61,3.72665407151008e-58,"nrv3"
"8857","FBgn0038631",3715.39173675595,3.63698902985785,0.221571910247395,16.414486050136,1.50651072526683e-60,7.35108756169975e-58,"CG7695"
"5180","FBgn0033033",453.776264429637,2.00230001370774,0.122827857897296,16.3016765739087,9.60216368417519e-60,4.48170552824438e-57,"scaf"
"5796","FBgn0034010",230.135037877343,4.17175478245206,0.256649464709625,16.2546794600644,2.06947816998403e-59,9.25660339782442e-57,"CG8157"
"5996","FBgn0034322",197.882788986925,5.61788600703246,0.345815213681389,16.2453408201075,2.40998347452509e-59,1.03484690396107e-56,"CG18536"
"12298","FBgn0066292",1144.50917567008,6.99035360035662,0.431199957360286,16.2113967801622,4.1893783062133e-59,1.72972985066153e-56,"CheB42c"
"13938","FBgn0262579",4240.86395258994,1.44595562530397,0.0897705577594161,16.1072367309904,2.26940997142439e-58,9.02300594194106e-56,"Sarm"
"10084","FBgn0041180",2947.90099256403,1.75796893401627,0.110715322183994,15.8782804343446,8.9601253814558e-57,3.43524807035457e-54,"Tep4"
"3255","FBgn0029994",7097.19561561817,0.982865580524326,0.0621165453191395,15.8229272969803,2.16202374158886e-56,8.00321547101944e-54,"Ldsdh1"
"12299","FBgn0066293",478.097416752566,4.48241473349597,0.285613385420038,15.6939939173505,1.66257645340549e-55,5.94925274243597e-53,"CheB42b"
"6000","FBgn0034326",266.305124974402,7.11125206458182,0.476240496841457,14.932060821676,2.03866809703854e-50,7.05971032958346e-48,"CG18540"
"674","FBgn0003891",3984.0603579106,1.13012814206672,0.0757629043974282,14.9166422678099,2.5687840590621e-50,8.6174677731349e-48,"tud"
"5701","FBgn0033872",3983.71148853666,-2.06674529439843,0.138773384714498,-14.892951545791,3.66238117628765e-50,1.19138369477115e-47,"CG6329"
"2625","FBgn0027578",1213.94463898301,-2.15761500668318,0.145138710188239,-14.8658824643326,5.48868574994838e-50,1.73297180957929e-47,"Nepl21"
"3106","FBgn0029762",1082.65943448072,1.73547986582798,0.116891175411753,14.8469707804263,7.27839639526372e-50,2.23238815151874e-47,"NAAT1"
"1444","FBgn0013467",3991.95855195703,-1.38264434365776,0.0934741746367067,-14.7917256186695,1.65651743506746e-49,4.93964296262477e-47,"igl"
"12204","FBgn0062978",1579.4338925107,-1.76404000227263,0.119531245211896,-14.7579823095247,2.73336460660343e-49,7.9304510951048e-47,"CG31808"
"5884","FBgn0034151",243.46929309883,-3.75900570082284,0.260284690867716,-14.4419008597523,2.81957341143367e-47,7.96529488730013e-45,"CG15617"
"2405","FBgn0026268",28550.5891747048,-1.27412339451115,0.0887948791435181,-14.3490638964866,1.0798494599002e-46,2.97235485949451e-44,"antdh"
"7092","FBgn0036022",270.998437795112,7.78545146680023,0.544015043576393,14.3110959131169,1.86550204832693e-46,5.0065411221974e-44,"CG8329"
"11611","FBgn0053126",4758.60141805043,-1.39027726193593,0.0975185565153616,-14.2565406176508,4.08193428443473e-46,1.06876986691236e-43,"NLaz"
"13173","FBgn0259736",1862.8554675973,1.76030203123961,0.12524182818185,14.0552246545272,7.15544845832934e-45,1.82889855238489e-42,"CG42390"
"6719","FBgn0035439",511.818433961611,-3.63108527382091,0.258912288304467,-14.0243836922524,1.10568494718905e-44,2.76035532745919e-42,"CG14961"
"6762","FBgn0035512",305.008036867465,-2.24516448092062,0.161982079246933,-13.8605732890858,1.09793835088266e-43,2.67872004471031e-41,"Cpr64Ac"
"10001","FBgn0040775",1015.38783050005,6.50259528396306,0.471661970435821,13.7865583649973,3.07063386964791e-43,7.32516768681562e-41,"CG12158"
"8165","FBgn0037607",2218.54961151247,0.92896684087269,0.0681370114572644,13.6338066640234,2.52080600888871e-42,5.88279402291746e-40,"CG8036"
"8049","FBgn0037433",4199.29012384298,-1.09752950588435,0.0805212111690764,-13.630315415646,2.64434930847937e-42,6.03980634606937e-40,"CG17919"
"11723","FBgn0053348",419.37603067822,9.11752680826798,0.671769128006914,13.5724111575639,5.83698440172712e-42,1.30541724067793e-39,"CheB42a"
"13892","FBgn0262512",1655.56495779058,-1.28633956405984,0.0949309040479423,-13.5502719263077,7.89371763177223e-42,1.72936854647092e-39,"Vha14-1"
"4503","FBgn0031925",3004.9849936833,5.51857834523586,0.411014987133983,13.426708314743,4.21745285977531e-41,9.05487128993758e-39,"Cyp4d21"
"16632","FBgn0267252",1927.12527802543,-1.26895633333093,0.0949097511307438,-13.3701365582854,9.03747791375668e-41,1.90230049812114e-38,"Ggamma30A"
