"geneid","log2FoldChange","lfcSE","pvalue","padj","symbol"
"FBgn0000120",-8.51266978960262,0.215336607695949,0,0,"Arr1"
"FBgn0002938",-8.58427938174087,0.209939679350906,0,0,"ninaC"
"FBgn0002940",-10.35143664722,0.189318767029721,0,0,"ninaE"
"FBgn0031289",-6.17515853630138,0.157606285221106,0,0,"CG13950"
"FBgn0033268",-6.38369507899914,0.151997454569547,0,0,"Obp44a"
"FBgn0005391",-6.70307733294265,0.143586979513496,0,0,"Yp2"
"FBgn0030357",-5.33737208976597,0.133148483086238,0,0,"Sclp"
"FBgn0000092",-5.53274536244407,0.124091710329015,0,0,"dyw"
"FBgn0287423",-5.52655001703146,0.135928574718187,0,0,"Nplp2"
"FBgn0034439",-4.14868777432824,0.108386832558888,0,0,"CG10062"
"FBgn0032181",-5.42034629979318,0.103176982719071,0,0,"CG13133"
"FBgn0260653",-4.15981873762525,0.100706430977459,0,0,"serp"
"FBgn0026077",-3.90660206728166,0.0979388326641091,0,0,"Gasp"
"FBgn0265356",-4.9178616232875,0.110580557292478,0,0,"tn"
"FBgn0037166",-3.9358636519947,0.0928270829415237,0,0,"CG11426"
"FBgn0039805",-3.86310327069828,0.0992147284075775,0,0,"Cpr100A"
"FBgn0000047",-4.86933167807239,0.101146962806307,0,0,"Act88F"
"FBgn0029851",-4.41622476795057,0.0954718458794201,0,0,"CG14445"
"FBgn0000044",-4.13507381667301,0.0941317911895736,0,0,"Act57B"
"FBgn0002772",-3.79357293889128,0.0971483509655247,0,0,"Mlc1"
"FBgn0033308",-3.61152550066274,0.0891071061298927,0,0,"CG8736"
"FBgn0003149",-3.42034182110642,0.0835540596868261,0,0,"Prm"
"FBgn0000045",-3.86780613704248,0.0862778856262035,0,0,"Act79B"
"FBgn0033728",-3.32770176274226,0.0824563989526863,0,0,"Cpr49Ae"
"FBgn0035817",-4.85339935088135,0.10090551548622,0,0,"CG7409"
"FBgn0004117",-3.39084738264539,0.0835042467099139,0,0,"Tm2"
"FBgn0036143",-3.91351408480066,0.0790612050440737,0,0,"CG14142"
"FBgn0026439",-3.18222563024472,0.0770762957090451,0,0,"Eaat1"
"FBgn0051216",-3.99106172268411,0.073573842070958,0,0,"Naam"
"FBgn0002773",-4.16284871582679,0.0703372601759445,0,0,"Mlc2"
"FBgn0028482",-3.28859846635589,0.0817704011385892,0,0,"bdl"
"FBgn0032835",-3.12230987531696,0.0664345362701394,0,0,"CG16772"
"FBgn0031942",-3.61924080555721,0.0690372386569098,0,0,"CG7203"
"FBgn0082582",-3.01100642528173,0.0685947471465252,0,0,"tmod"
"FBgn0042201",-4.03205351904478,0.067023274430063,0,0,"Nplp3"
"FBgn0264695",-3.67411912831988,0.0774117771458085,0,0,"Mhc"
"FBgn0050052",3.88756495211373,0.0907093099176069,0,0,"Obp49a"
"FBgn0027843",-2.4372582697307,0.0583605460765802,0,0,"CAH2"
